date,hour,kwh
2022-06-26,22,81.5887
2022-06-26,23,59.6252
2022-06-27,0,46.7735
2022-06-27,1,46.991
2022-06-27,2,46.3918
2022-06-27,3,44.5681
2022-06-27,4,62.0036
2022-06-27,5,80.8591
2022-06-27,6,67.175
2022-06-27,7,73.0915
2022-06-27,8,88.3766
2022-06-27,9,85.2999
2022-06-27,10,91.3182
2022-06-27,11,97.5331
2022-06-27,12,117.3236
2022-06-27,13,121.187
2022-06-27,14,134.4374
2022-06-27,15,145.6078
2022-06-27,16,150.2097
2022-06-27,17,152.8045
2022-06-27,18,154.0068
2022-06-27,19,140.501
2022-06-27,20,129.3964
2022-06-27,21,110.6327
2022-06-27,22,86.3239
2022-06-27,23,63.6324
2022-06-28,0,46.9854
2022-06-28,1,48.3401
2022-06-28,2,45.9981
2022-06-28,3,45.424
2022-06-28,4,60.2255
2022-06-28,5,72.2107
2022-06-28,6,76.187
2022-06-28,7,71.8218
2022-06-28,8,73.1076
2022-06-28,9,85.2375
2022-06-28,10,94.0488
2022-06-28,11,108.1519
2022-06-28,12,120.7024
2022-06-28,13,118.4458
2022-06-28,14,137.335
2022-06-28,15,148.8209
2022-06-28,16,140.0571
2022-06-28,17,153.584
2022-06-28,18,146.2767
2022-06-28,19,138.7394
2022-06-28,20,107.3626
2022-06-28,21,102.8364
2022-06-28,22,83.7775
2022-06-28,23,59.45
2022-06-29,0,48.5623
2022-06-29,1,48.7173
2022-06-29,2,48.6429
2022-06-29,3,48.1328
2022-06-29,4,61.9094
2022-06-29,5,69.2168
2022-06-29,6,65.0715
2022-06-29,7,71.9554
2022-06-29,8,75.2773
2022-06-29,9,82.4248
2022-06-29,10,90.0015
2022-06-29,11,93.8605
2022-06-29,12,100.9824
2022-06-29,13,106.3267
2022-06-29,14,122.0091
2022-06-29,15,132.455
2022-06-29,16,145.9763
2022-06-29,17,143.8471
2022-06-29,18,128.4753
2022-06-29,19,121.9909
2022-06-29,20,101.477
2022-06-29,21,91.0467
2022-06-29,22,68.8541
2022-06-29,23,51.6441
2022-06-30,0,44.3801
2022-06-30,1,41.0532
2022-06-30,2,34.0003
2022-06-30,3,39.3536
2022-06-30,4,49.124
2022-06-30,5,60.0992
2022-06-30,6,58.17
2022-06-30,7,53.319
2022-06-30,8,58.5719
2022-06-30,9,78.3473
2022-06-30,10,94.1831
2022-06-30,11,97.5666
2022-06-30,12,85.1934
2022-06-30,13,96.3098
2022-06-30,14,107.781
2022-06-30,15,112.9617
2022-06-30,16,113.9912
2022-06-30,17,123.6228
2022-06-30,18,120.4159
2022-06-30,19,117.6325
2022-06-30,20,110.7438
2022-06-30,21,90.9323
2022-06-30,22,73.0612
2022-06-30,23,54.0963
2022-07-01,0,46.5375
2022-07-01,1,46.118
2022-07-01,2,40.0647
2022-07-01,3,37.1637
2022-07-01,4,56.7484
2022-07-01,5,65.3497
2022-07-01,6,61.1868
2022-07-01,7,65.2414
2022-07-01,8,71.6783
2022-07-01,9,77.1276
2022-07-01,10,79.8441
2022-07-01,11,81.1695
2022-07-01,12,82.8726
2022-07-01,13,94.2318
2022-07-01,14,108.7078
2022-07-01,15,116.9288
2022-07-01,16,113.9755
2022-07-01,17,107.3805
2022-07-01,18,108.1549
2022-07-01,19,103.3034
2022-07-01,20,93.4734
2022-07-01,21,81.3196
2022-07-01,22,70.8794
2022-07-01,23,54.3884
2022-07-02,0,47.7296
2022-07-02,1,43.9297
2022-07-02,2,38.1516
2022-07-02,3,41.2665
2022-07-02,4,55.0457
2022-07-02,5,61.8763
2022-07-02,6,59.8195
2022-07-02,7,59.9361
2022-07-02,8,64.9353
2022-07-02,9,67.7572
2022-07-02,10,75.7036
2022-07-02,11,83.8311
2022-07-02,12,83.7716
2022-07-02,13,90.0726
2022-07-02,14,92.7198
2022-07-02,15,93.0431
2022-07-02,16,96.7266
2022-07-02,17,90.7864
2022-07-02,18,94.2892
2022-07-02,19,82.5821
2022-07-02,20,72.4166
2022-07-02,21,67.0148
2022-07-02,22,64.4882
2022-07-02,23,53.4211
2022-07-03,0,45.2271
2022-07-03,1,42.0506
2022-07-03,2,36.5685
2022-07-03,3,43.2465
2022-07-03,4,51.1315
2022-07-03,5,60.8619
2022-07-03,6,58.5978
2022-07-03,7,61.2846
2022-07-03,8,62.3969
2022-07-03,9,69.5047
2022-07-03,10,70.2018
2022-07-03,11,82.1461
2022-07-03,12,78.6704
2022-07-03,13,76.5518
2022-07-03,14,87.0382
2022-07-03,15,94.4823
2022-07-03,16,92.2393
2022-07-03,17,91.6149
2022-07-03,18,86.7839
2022-07-03,19,84.2364
2022-07-03,20,69.0184
2022-07-03,21,67.8036
2022-07-03,22,65.2614
2022-07-03,23,54.1623
2022-07-04,0,48.1693
2022-07-04,1,46.2023
2022-07-04,2,38.2149
2022-07-04,3,36.8907
2022-07-04,4,52.5583
2022-07-04,5,62.5801
2022-07-04,6,56.325
2022-07-04,7,59.3518
2022-07-04,8,66.7629
2022-07-04,9,78.1518
2022-07-04,10,73.365
2022-07-04,11,83.8853
2022-07-04,12,86.9379
2022-07-04,13,91.6871
2022-07-04,14,106.5579
2022-07-04,15,106.8757
2022-07-04,16,110.8395
2022-07-04,17,109.4731
2022-07-04,18,101.5022
2022-07-04,19,96.6888
2022-07-04,20,95.4459
2022-07-04,21,90.1008
2022-07-04,22,72.5525
2022-07-04,23,65.7052
2022-07-05,0,48.1984
2022-07-05,1,48.9728
2022-07-05,2,48.8339
2022-07-05,3,48.6824
2022-07-05,4,63.9036
2022-07-05,5,73.1418
2022-07-05,6,70.836
2022-07-05,7,74.7643
2022-07-05,8,86.4793
2022-07-05,9,86.4793
2022-07-05,10,88.3898
2022-07-05,11,87.6887
2022-07-05,12,116.5773
2022-07-05,13,119.4038
2022-07-05,14,108.3148
2022-07-05,15,127.6303
2022-07-05,16,128.6889
2022-07-05,17,117.8826
2022-07-05,18,115.7693
2022-07-05,19,112.9339
2022-07-05,20,103.8365
2022-07-05,21,102.1023
2022-07-05,22,76.2576
2022-07-05,23,56.8952
2022-07-06,0,47.7906
2022-07-06,1,48.3597
2022-07-06,2,47.3499
2022-07-06,3,44.4603
2022-07-06,4,54.017
2022-07-06,5,69.5246
2022-07-06,6,65.432
2022-07-06,7,64.2764
2022-07-06,8,79.0187
2022-07-06,9,78.5987
2022-07-06,10,82.6035
2022-07-06,11,84.8583
2022-07-06,12,88.374
2022-07-06,13,86.3933
2022-07-06,14,104.5648
2022-07-06,15,109.031
2022-07-06,16,106.7845
2022-07-06,17,132.7024
2022-07-06,18,123.9103
2022-07-06,19,112.5309
2022-07-06,20,103.6787
2022-07-06,21,85.2783
2022-07-06,22,70.9607
2022-07-06,23,54.5065
2022-07-07,0,47.7531
2022-07-07,1,46.0126
2022-07-07,2,44.2607
2022-07-07,3,37.6305
2022-07-07,4,56.1269
2022-07-07,5,67.0769
2022-07-07,6,64.4317
2022-07-07,7,64.0606
2022-07-07,8,61.8899
2022-07-07,9,69.9746
2022-07-07,10,79.4023
2022-07-07,11,89.7603
2022-07-07,12,91.8796
2022-07-07,13,97.73
2022-07-07,14,106.6925
2022-07-07,15,116.1007
2022-07-07,16,126.1289
2022-07-07,17,122.2735
2022-07-07,18,114.6576
2022-07-07,19,115.2107
2022-07-07,20,98.6672
2022-07-07,21,101.104
2022-07-07,22,75.1698
2022-07-07,23,60.0938
2022-07-08,0,48.7824
2022-07-08,1,48.3316
2022-07-08,2,47.5626
2022-07-08,3,47.6523
2022-07-08,4,55.7648
2022-07-08,5,68.0919
2022-07-08,6,66.7833
2022-07-08,7,68.7259
2022-07-08,8,72.1596
2022-07-08,9,89.895
2022-07-08,10,87.6659
2022-07-08,11,95.6193
2022-07-08,12,101.366
2022-07-08,13,112.0068
2022-07-08,14,118.686
2022-07-08,15,129.8447
2022-07-08,16,127.6779
2022-07-08,17,134.3804
2022-07-08,18,124.2753
2022-07-08,19,117.1411
2022-07-08,20,100.6129
2022-07-08,21,87.8725
2022-07-08,22,76.7773
2022-07-08,23,61.1345
2022-07-09,0,49.6243
2022-07-09,1,47.9064
2022-07-09,2,47.6065
2022-07-09,3,47.2949
2022-07-09,4,61.514
2022-07-09,5,67.1221
2022-07-09,6,59.7235
2022-07-09,7,63.4434
2022-07-09,8,70.7136
2022-07-09,9,81.0751
2022-07-09,10,84.3857
2022-07-09,11,89.006
2022-07-09,12,96.1761
2022-07-09,13,103.8976
2022-07-09,14,116.8403
2022-07-09,15,124.9273
2022-07-09,16,126.3738
2022-07-09,17,118.1153
2022-07-09,18,120.5183
2022-07-09,19,107.2398
2022-07-09,20,90.6185
2022-07-09,21,84.5042
2022-07-09,22,75.5797
2022-07-09,23,59.6913
2022-07-10,0,49.7496
2022-07-10,1,47.8026
2022-07-10,2,47.9336
2022-07-10,3,46.021
2022-07-10,4,58.6126
2022-07-10,5,63.0644
2022-07-10,6,60.3601
2022-07-10,7,63.4895
2022-07-10,8,68.9779
2022-07-10,9,80.1577
2022-07-10,10,83.7868
2022-07-10,11,92.5101
2022-07-10,12,104.2297
2022-07-10,13,113.9981
2022-07-10,14,119.4324
2022-07-10,15,126.9752
2022-07-10,16,132.6667
2022-07-10,17,126.425
2022-07-10,18,127.6651
2022-07-10,19,121.3364
2022-07-10,20,97.4866
2022-07-10,21,93.7971
2022-07-10,22,80.8517
2022-07-10,23,59.2985
2022-07-11,0,49.8106
2022-07-11,1,55.2862
2022-07-11,2,50.9474
2022-07-11,3,48.8214
2022-07-11,4,64.4788
2022-07-11,5,76.6858
2022-07-11,6,69.5037
2022-07-11,7,80.3401
2022-07-11,8,92.0449
2022-07-11,9,94.8352
2022-07-11,10,100.2459
2022-07-11,11,113.0461
2022-07-11,12,122.988
2022-07-11,13,134.111
2022-07-11,14,147.5641
2022-07-11,15,153.7456
2022-07-11,16,155.4638
2022-07-11,17,164.5075
2022-07-11,18,153.64
2022-07-11,19,147.3986
2022-07-11,20,135.4479
2022-07-11,21,120.5894
2022-07-11,22,87.7018
2022-07-11,23,71.6966
2022-07-12,0,55.0904
2022-07-12,1,58.0696
2022-07-12,2,56.3802
2022-07-12,3,51.8566
2022-07-12,4,65.9794
2022-07-12,5,84.2058
2022-07-12,6,75.1224
2022-07-12,7,80.2374
2022-07-12,8,85.5284
2022-07-12,9,88.7667
2022-07-12,10,90.0965
2022-07-12,11,113.9334
2022-07-12,12,116.2857
2022-07-12,13,115.9474
2022-07-12,14,126.5247
2022-07-12,15,147.4422
2022-07-12,16,152.4561
2022-07-12,17,143.8268
2022-07-12,18,138.754
2022-07-12,19,126.998
